x; y; f(x,y) = sin(x)cos(y); grad f(x,y)
-2.2;-2.6;0.692791476;0.087498983
-2.2;-2.4;0.596180167;-0.112152527
-2.2;-2.2;0.475801037;-0.30733287
-2.2;-2;0.336453221;-0.490260821
-2.2;-1.8;0.183692076;-0.653643621
-2.2;-1.6;0.023607709;-0.790967712
-2.2;-1.4;-0.137417824;-0.896758416
-2.2;-1.2;-0.292964941;-0.966798193
-2.2;-1;-0.436832471;-0.998294776
-2.2;-0.8;-0.563284869;-0.989992497
-2.2;-0.6;-0.667280877;-0.942222341
-2.2;-0.4;-0.744674501;-0.856888753
-2.2;-0.2;-0.792380304;-0.737393716
-2.2;0;-0.808496404;-0.588501117
-2.2;0.2;-0.792380304;-0.416146837
-2.2;0.4;-0.744674501;-0.227202095
-2.2;0.6;-0.667280877;-0.029199522
-2.2;0.8;-0.563284869;0.169967143
-2.2;1;-0.436832471;0.362357754
-2.2;1.2;-0.292964941;0.540302306
-2.2;1.4;-0.137417824;0.696706709
-2.2;1.6;0.023607709;0.825335615
-2.2;1.8;0.183692076;0.921060994
-2.2;2;0.336453221;0.980066578
-2.2;2.2;0.475801037;1
-2.2;2.4;0.596180167;0.980066578
-2.2;2.6;0.692791476;0.921060994
-2.2;2.8;0.761783374;0.825335615
-2.2;3;0.800405373;0.696706709
-2;-3;0.90019763;0.283662185
-2;-2.8;0.85676035;0.087498983
-2;-2.6;0.779166739;-0.112152527
-2;-2.4;0.670510208;-0.30733287
-2;-2.2;0.535122552;-0.490260821
-2;-2;0.378401248;-0.653643621
-2;-1.8;0.20659428;-0.790967712
-2;-1.6;0.02655105;-0.896758416
-2;-1.4;-0.154550686;-0.966798193
-2;-1.2;-0.329490974;-0.998294776
-2;-1;-0.491295496;-0.989992497
-2;-0.8;-0.633513618;-0.942222341
-2;-0.6;-0.750475551;-0.856888753
-2;-0.4;-0.837518392;-0.737393716
-2;-0.2;-0.891172017;-0.588501117
-2;0;-0.909297427;-0.416146837
-2;0.2;-0.891172017;-0.227202095
-2;0.4;-0.837518392;-0.029199522
-2;0.6;-0.750475551;0.169967143
-2;0.8;-0.633513618;0.362357754
-2;1;-0.491295496;0.540302306
-2;1.2;-0.329490974;0.696706709
-2;1.4;-0.154550686;0.825335615
-2;1.6;0.02655105;0.921060994
-2;1.8;0.20659428;0.980066578
-2;2;0.378401248;1
-2;2.2;0.535122552;0.980066578
-2;2.4;0.670510208;0.921060994
-2;2.6;0.779166739;0.825335615
-2;2.8;0.85676035;0.696706709
-2;3;0.90019763;0.540302306
-1.8;-3;0.964101847;0.087498983
-1.8;-2.8;0.917580994;-0.112152527
-1.8;-2.6;0.834479082;-0.30733287
-1.8;-2.4;0.718109123;-0.490260821
-1.8;-2.2;0.573110419;-0.653643621
-1.8;-2;0.405263611;-0.790967712
-1.8;-1.8;0.221260222;-0.896758416
-1.8;-1.6;0.028435886;-0.966798193
-1.8;-1.4;-0.165522099;-0.998294776
-1.8;-1.2;-0.352881241;-0.989992497
-1.8;-1;-0.526172121;-0.942222341
-1.8;-0.8;-0.678486178;-0.856888753
-1.8;-0.6;-0.803751133;-0.737393716
-1.8;-0.4;-0.896973067;-0.588501117
-1.8;-0.2;-0.954435515;-0.416146837
-1.8;0;-0.973847631;-0.227202095
-1.8;0.2;-0.954435515;-0.029199522
-1.8;0.4;-0.896973067;0.169967143
-1.8;0.6;-0.803751133;0.362357754
-1.8;0.8;-0.678486178;0.540302306
-1.8;1;-0.526172121;0.696706709
-1.8;1.2;-0.352881241;0.825335615
-1.8;1.4;-0.165522099;0.921060994
-1.8;1.6;0.028435886;0.980066578
-1.8;1.8;0.221260222;1
-1.8;2;0.405263611;0.980066578
-1.8;2.2;0.573110419;0.921060994
-1.8;2.4;0.718109123;0.825335615
-1.8;2.6;0.834479082;0.696706709
-1.8;2.8;0.917580994;0.540302306
-1.8;3;0.964101847;0.362357754
-1.6;-3;0.989570367;-0.112152527
-1.6;-2.8;0.94182058;-0.30733287
-1.6;-2.6;0.856523379;-0.490260821
-1.6;-2.4;0.737079293;-0.653643621
-1.6;-2.2;0.588250182;-0.790967712
-1.6;-2;0.415969393;-0.896758416
-1.6;-1.8;0.227105216;-0.966798193
-1.6;-1.6;0.029187072;-0.998294776
-1.6;-1.4;-0.169894669;-0.989992497
-1.6;-1.2;-0.362203246;-0.942222341
-1.6;-1;-0.540071923;-0.856888753
-1.6;-0.8;-0.696409636;-0.737393716
-1.6;-0.6;-0.824983694;-0.588501117
-1.6;-0.4;-0.920668256;-0.416146837
-1.6;-0.2;-0.97964868;-0.227202095
-1.6;0;-0.999573603;-0.029199522
-1.6;0.2;-0.97964868;0.169967143
-1.6;0.4;-0.920668256;0.362357754
-1.6;0.6;-0.824983694;0.540302306
-1.6;0.8;-0.696409636;0.696706709
-1.6;1;-0.540071923;0.825335615
-1.6;1.2;-0.362203246;0.921060994
-1.6;1.4;-0.169894669;0.980066578
-1.6;1.6;0.029187072;1
-1.6;1.8;0.227105216;0.980066578
-1.6;2;0.415969393;0.921060994
-1.6;2.2;0.588250182;0.825335615
-1.6;2.4;0.737079293;0.696706709
-1.6;2.6;0.856523379;0.540302306
-1.6;2.8;0.94182058;0.362357754
-1.6;3;0.989570367;0.169967143
-1.4;-3;0.975587838;-0.30733287
-1.4;-2.8;0.928512751;-0.490260821
-1.4;-2.6;0.844420791;-0.653643621
-1.4;-2.4;0.726664438;-0.790967712
-1.4;-2.2;0.579938267;-0.896758416
-1.4;-2;0.410091788;-0.966798193
-1.4;-1.8;0.223896243;-0.998294776
-1.4;-1.6;0.028774661;-0.989992497
-1.4;-1.4;-0.167494075;-0.942222341
-1.4;-1.2;-0.357085351;-0.856888753
-1.4;-1;-0.532440761;-0.737393716
-1.4;-0.8;-0.686569439;-0.588501117
-1.4;-0.6;-0.813326759;-0.416146837
-1.4;-0.4;-0.907659308;-0.227202095
-1.4;-0.2;-0.965806345;-0.029199522
-1.4;0;-0.98544973;0.169967143
-1.4;0.2;-0.965806345;0.362357754
-1.4;0.4;-0.907659308;0.540302306
-1.4;0.6;-0.813326759;0.696706709
-1.4;0.8;-0.686569439;0.825335615
-1.4;1;-0.532440761;0.921060994
-1.4;1.2;-0.357085351;0.980066578
-1.4;1.4;-0.167494075;1
-1.4;1.6;0.028774661;0.980066578
-1.4;1.8;0.223896243;0.921060994
-1.4;2;0.410091788;0.825335615
-1.4;2.2;0.579938267;0.696706709
-1.4;2.4;0.726664438;0.540302306
-1.4;2.6;0.844420791;0.362357754
-1.4;2.8;0.928512751;0.169967143
-1.4;3;0.975587838;-0.029199522
-1.2;-3;0.922711702;-0.490260821
-1.2;-2.8;0.878188049;-0.653643621
-1.2;-2.6;0.79865381;-0.790967712
-1.2;-2.4;0.687279765;-0.896758416
-1.2;-2.2;0.548506043;-0.966798193
-1.2;-2;0.387865117;-0.998294776
-1.2;-1.8;0.211761233;-0.989992497
-1.2;-1.6;0.027215096;-0.942222341
-1.2;-1.4;-0.158416021;-0.856888753
-1.2;-1.2;-0.33773159;-0.737393716
-1.2;-1;-0.503582867;-0.588501117
-1.2;-0.8;-0.649357885;-0.416146837
-1.2;-0.6;-0.769245052;-0.227202095
-1.2;-0.4;-0.858464847;-0.029199522
-1.2;-0.2;-0.913460357;0.169967143
-1.2;0;-0.932039086;0.362357754
-1.2;0.2;-0.913460357;0.540302306
-1.2;0.4;-0.858464847;0.696706709
-1.2;0.6;-0.769245052;0.825335615
-1.2;0.8;-0.649357885;0.921060994
-1.2;1;-0.503582867;0.980066578
-1.2;1.2;-0.33773159;1
-1.2;1.4;-0.158416021;0.980066578
-1.2;1.6;0.027215096;0.921060994
-1.2;1.8;0.211761233;0.825335615
-1.2;2;0.387865117;0.696706709
-1.2;2.2;0.548506043;0.540302306
-1.2;2.4;0.687279765;0.362357754
-1.2;2.6;0.79865381;0.169967143
-1.2;2.8;0.878188049;-0.029199522
-1.2;3;0.922711702;-0.227202095
-1;-3;0.833049961;-0.653643621
-1;-2.8;0.792852761;-0.790967712
-1;-2.6;0.721047023;-0.896758416
-1;-2.4;0.620495416;-0.966798193
-1;-2.2;0.495206615;-0.998294776
-1;-2;0.350175488;-0.989992497
-1;-1.8;0.19118397;-0.942222341
-1;-1.6;0.024570551;-0.856888753
-1;-1.4;-0.143022419;-0.737393716
-1;-1.2;-0.304913537;-0.588501117
-1;-1;-0.454648713;-0.416146837
-1;-0.8;-0.586258481;-0.227202095
-1;-0.6;-0.694495973;-0.029199522
-1;-0.4;-0.775046102;0.169967143
-1;-0.2;-0.824697588;0.362357754
-1;0;-0.841470985;0.540302306
-1;0.2;-0.824697588;0.696706709
-1;0.4;-0.775046102;0.825335615
-1;0.6;-0.694495973;0.921060994
-1;0.8;-0.586258481;0.980066578
-1;1;-0.454648713;1
-1;1.2;-0.304913537;0.980066578
-1;1.4;-0.143022419;0.921060994
-1;1.6;0.024570551;0.825335615
-1;1.8;0.19118397;0.696706709
-1;2;0.350175488;0.540302306
-1;2.2;0.495206615;0.362357754
-1;2.4;0.620495416;0.169967143
-1;2.6;0.721047023;-0.029199522
-1;2.8;0.792852761;-0.227202095
-1;3;0.833049961;-0.416146837
-0.8;-3;0.710177147;-0.790967712
-0.8;-2.8;0.675908935;-0.896758416
-0.8;-2.6;0.614694366;-0.966798193
-0.8;-2.4;0.528973873;-0.998294776
-0.8;-2.2;0.422164861;-0.989992497
-0.8;-2;0.298525468;-0.942222341
-0.8;-1.8;0.162984806;-0.856888753
-0.8;-1.6;0.020946455;-0.737393716
-0.8;-1.4;-0.121926965;-0.588501117
-0.8;-1.2;-0.259939542;-0.416146837
-0.8;-1;-0.38758915;-0.227202095
-0.8;-0.8;-0.499786802;-0.029199522
-0.8;-0.6;-0.59205953;0.169967143
-0.8;-0.4;-0.660728714;0.362357754
-0.8;-0.2;-0.703056729;0.540302306
-0.8;0;-0.717356091;0.696706709
-0.8;0.2;-0.703056729;0.825335615
-0.8;0.4;-0.660728714;0.921060994
-0.8;0.6;-0.59205953;0.980066578
-0.8;0.8;-0.499786802;1
-0.8;1;-0.38758915;0.980066578
-0.8;1.2;-0.259939542;0.921060994
-0.8;1.4;-0.121926965;0.825335615
-0.8;1.6;0.020946455;0.696706709
-0.8;1.8;0.162984806;0.540302306
-0.8;2;0.298525468;0.362357754
-0.8;2.2;0.422164861;0.169967143
-0.8;2.4;0.528973873;-0.029199522
-0.8;2.6;0.614694366;-0.227202095
-0.8;2.8;0.675908935;-0.416146837
-0.8;3;0.710177147;-0.588501117
-0.6;-3;0.558991812;-0.896758416
-0.6;-2.8;0.532018753;-0.966798193
-0.6;-2.6;0.483835785;-0.998294776
-0.6;-2.4;0.416363811;-0.989992497
-0.6;-2.2;0.332292726;-0.942222341
-0.6;-2;0.234974179;-0.856888753
-0.6;-1.8;0.128287953;-0.737393716
-0.6;-1.6;0.01648729;-0.588501117
-0.6;-1.4;-0.095970668;-0.416146837
-0.6;-1.2;-0.204602579;-0.227202095
-0.6;-1;-0.30507763;-0.029199522
-0.6;-0.8;-0.3933902;0.169967143
-0.6;-0.6;-0.466019543;0.362357754
-0.6;-0.4;-0.520070158;0.540302306
-0.6;-0.2;-0.553387217;0.696706709
-0.6;0;-0.564642473;0.825335615
-0.6;0.2;-0.553387217;0.921060994
-0.6;0.4;-0.520070158;0.980066578
-0.6;0.6;-0.466019543;1
-0.6;0.8;-0.3933902;0.980066578
-0.6;1;-0.30507763;0.921060994
-0.6;1.2;-0.204602579;0.825335615
-0.6;1.4;-0.095970668;0.696706709
-0.6;1.6;0.01648729;0.540302306
-0.6;1.8;0.128287953;0.362357754
-0.6;2;0.234974179;0.169967143
-0.6;2.2;0.332292726;-0.029199522
-0.6;2.4;0.416363811;-0.227202095
-0.6;2.6;0.483835785;-0.416146837
-0.6;2.8;0.532018753;-0.588501117
-0.6;3;0.558991812;-0.737393716
-0.4;-3;0.385521237;-0.966798193
-0.4;-2.8;0.366918662;-0.998294776
-0.4;-2.6;0.333688198;-0.989992497
-0.4;-2.4;0.287154638;-0.942222341
-0.4;-2.2;0.22917313;-0.856888753
-0.4;-2;0.162055211;-0.737393716
-0.4;-1.8;0.088476663;-0.588501117
-0.4;-1.6;0.01137083;-0.416146837
-0.4;-1.4;-0.066188323;-0.227202095
-0.4;-1.2;-0.141108756;-0.029199522
-0.4;-1;-0.210403628;0.169967143
-0.4;-0.8;-0.271310372;0.362357754
-0.4;-0.6;-0.321400827;0.540302306
-0.4;-0.4;-0.358678045;0.696706709
-0.4;-0.2;-0.381655902;0.825335615
-0.4;0;-0.389418342;0.921060994
-0.4;0.2;-0.381655902;0.980066578
-0.4;0.4;-0.358678045;1
-0.4;0.6;-0.321400827;0.980066578
-0.4;0.8;-0.271310372;0.921060994
-0.4;1;-0.210403628;0.825335615
-0.4;1.2;-0.141108756;0.696706709
-0.4;1.4;-0.066188323;0.540302306
-0.4;1.6;0.01137083;0.362357754
-0.4;1.8;0.088476663;0.169967143
-0.4;2;0.162055211;-0.029199522
-0.4;2.2;0.22917313;-0.227202095
-0.4;2.4;0.287154638;-0.416146837
-0.4;2.6;0.333688198;-0.588501117
-0.4;2.8;0.366918662;-0.737393716
-0.4;3;0.385521237;-0.856888753
-0.2;-3;0.196681147;-0.998294776
-0.2;-2.8;0.187190682;-0.989992497
-0.2;-2.6;0.170237515;-0.942222341
-0.2;-2.4;0.146497516;-0.856888753
-0.2;-2.2;0.116917123;-0.737393716
-0.2;-2;0.082675614;-0.588501117
-0.2;-1.8;0.045138088;-0.416146837
-0.2;-1.6;0.00580105;-0.227202095
-0.2;-1.4;-0.033767259;-0.029199522
-0.2;-1.2;-0.071989373;0.169967143
-0.2;-1;-0.107341498;0.362357754
-0.2;-0.8;-0.138414256;0.540302306
-0.2;-0.6;-0.163968874;0.696706709
-0.2;-0.4;-0.182986571;0.825335615
-0.2;-0.2;-0.194709171;0.921060994
-0.2;0;-0.198669331;0.980066578
-0.2;0.2;-0.194709171;1
-0.2;0.4;-0.182986571;0.980066578
-0.2;0.6;-0.163968874;0.921060994
-0.2;0.8;-0.138414256;0.825335615
-0.2;1;-0.107341498;0.696706709
-0.2;1.2;-0.071989373;0.540302306
-0.2;1.4;-0.033767259;0.362357754
-0.2;1.6;0.00580105;0.169967143
-0.2;1.8;0.045138088;-0.029199522
-0.2;2;0.082675614;-0.227202095
-0.2;2.2;0.116917123;-0.416146837
-0.2;2.4;0.146497516;-0.588501117
-0.2;2.6;0.170237515;-0.737393716
-0.2;2.8;0.187190682;-0.856888753
-0.2;3;0.196681147;-0.942222341
0;-3;0;-0.989992497
0;-2.8;0;-0.942222341
0;-2.6;0;-0.856888753
0;-2.4;0;-0.737393716
0;-2.2;0;-0.588501117
0;-2;0;-0.416146837
0;-1.8;0;-0.227202095
0;-1.6;0;-0.029199522
0;-1.4;0;0.169967143
0;-1.2;0;0.362357754
0;-1;0;0.540302306
0;-0.8;0;0.696706709
0;-0.6;0;0.825335615
0;-0.4;0;0.921060994
0;-0.2;0;0.980066578
0;0;0;1
0;0.2;0;0.980066578
0;0.4;0;0.921060994
0;0.6;0;0.825335615
0;0.8;0;0.696706709
0;1;0;0.540302306
0;1.2;0;0.362357754
0;1.4;0;0.169967143
0;1.6;0;-0.029199522
0;1.8;0;-0.227202095
0;2;0;-0.416146837
0;2.2;0;-0.588501117
0;2.4;0;-0.737393716
0;2.6;0;-0.856888753
0;2.8;0;-0.942222341
0;3;0;-0.989992497
0.2;-3;-0.196681147;-0.942222341
0.2;-2.8;-0.187190682;-0.856888753
0.2;-2.6;-0.170237515;-0.737393716
0.2;-2.4;-0.146497516;-0.588501117
0.2;-2.2;-0.116917123;-0.416146837
0.2;-2;-0.082675614;-0.227202095
0.2;-1.8;-0.045138088;-0.029199522
0.2;-1.6;-0.00580105;0.169967143
0.2;-1.4;0.033767259;0.362357754
0.2;-1.2;0.071989373;0.540302306
0.2;-1;0.107341498;0.696706709
0.2;-0.8;0.138414256;0.825335615
0.2;-0.6;0.163968874;0.921060994
0.2;-0.4;0.182986571;0.980066578
0.2;-0.2;0.194709171;1
0.2;0;0.198669331;0.980066578
0.2;0.2;0.194709171;0.921060994
0.2;0.4;0.182986571;0.825335615
0.2;0.6;0.163968874;0.696706709
0.2;0.8;0.138414256;0.540302306
0.2;1;0.107341498;0.362357754
0.2;1.2;0.071989373;0.169967143
0.2;1.4;0.033767259;-0.029199522
0.2;1.6;-0.00580105;-0.227202095
0.2;1.8;-0.045138088;-0.416146837
0.2;2;-0.082675614;-0.588501117
0.2;2.2;-0.116917123;-0.737393716
0.2;2.4;-0.146497516;-0.856888753
0.2;2.6;-0.170237515;-0.942222341
0.2;2.8;-0.187190682;-0.989992497
0.2;3;-0.196681147;-0.998294776
0.4;-3;-0.385521237;-0.856888753
0.4;-2.8;-0.366918662;-0.737393716
0.4;-2.6;-0.333688198;-0.588501117
0.4;-2.4;-0.287154638;-0.416146837
0.4;-2.2;-0.22917313;-0.227202095
0.4;-2;-0.162055211;-0.029199522
0.4;-1.8;-0.088476663;0.169967143
0.4;-1.6;-0.01137083;0.362357754
0.4;-1.4;0.066188323;0.540302306
0.4;-1.2;0.141108756;0.696706709
0.4;-1;0.210403628;0.825335615
0.4;-0.8;0.271310372;0.921060994
0.4;-0.6;0.321400827;0.980066578
0.4;-0.4;0.358678045;1
0.4;-0.2;0.381655902;0.980066578
0.4;0;0.389418342;0.921060994
0.4;0.2;0.381655902;0.825335615
0.4;0.4;0.358678045;0.696706709
0.4;0.6;0.321400827;0.540302306
0.4;0.8;0.271310372;0.362357754
0.4;1;0.210403628;0.169967143
0.4;1.2;0.141108756;-0.029199522
0.4;1.4;0.066188323;-0.227202095
0.4;1.6;-0.01137083;-0.416146837
0.4;1.8;-0.088476663;-0.588501117
0.4;2;-0.162055211;-0.737393716
0.4;2.2;-0.22917313;-0.856888753
0.4;2.4;-0.287154638;-0.942222341
0.4;2.6;-0.333688198;-0.989992497
0.4;2.8;-0.366918662;-0.998294776
0.4;3;-0.385521237;-0.966798193
0.6;-3;-0.558991812;-0.737393716
0.6;-2.8;-0.532018753;-0.588501117
0.6;-2.6;-0.483835785;-0.416146837
0.6;-2.4;-0.416363811;-0.227202095
0.6;-2.2;-0.332292726;-0.029199522
0.6;-2;-0.234974179;0.169967143
0.6;-1.8;-0.128287953;0.362357754
0.6;-1.6;-0.01648729;0.540302306
0.6;-1.4;0.095970668;0.696706709
0.6;-1.2;0.204602579;0.825335615
0.6;-1;0.30507763;0.921060994
0.6;-0.8;0.3933902;0.980066578
0.6;-0.6;0.466019543;1
0.6;-0.4;0.520070158;0.980066578
0.6;-0.2;0.553387217;0.921060994
0.6;0;0.564642473;0.825335615
0.6;0.2;0.553387217;0.696706709
0.6;0.4;0.520070158;0.540302306
0.6;0.6;0.466019543;0.362357754
0.6;0.8;0.3933902;0.169967143
0.6;1;0.30507763;-0.029199522
0.6;1.2;0.204602579;-0.227202095
0.6;1.4;0.095970668;-0.416146837
0.6;1.6;-0.01648729;-0.588501117
0.6;1.8;-0.128287953;-0.737393716
0.6;2;-0.234974179;-0.856888753
0.6;2.2;-0.332292726;-0.942222341
0.6;2.4;-0.416363811;-0.989992497
0.6;2.6;-0.483835785;-0.998294776
0.6;2.8;-0.532018753;-0.966798193
0.6;3;-0.558991812;-0.896758416
0.8;-3;-0.710177147;-0.588501117
0.8;-2.8;-0.675908935;-0.416146837
0.8;-2.6;-0.614694366;-0.227202095
0.8;-2.4;-0.528973873;-0.029199522
0.8;-2.2;-0.422164861;0.169967143
0.8;-2;-0.298525468;0.362357754
0.8;-1.8;-0.162984806;0.540302306
0.8;-1.6;-0.020946455;0.696706709
0.8;-1.4;0.121926965;0.825335615
0.8;-1.2;0.259939542;0.921060994
0.8;-1;0.38758915;0.980066578
0.8;-0.8;0.499786802;1
0.8;-0.6;0.59205953;0.980066578
0.8;-0.4;0.660728714;0.921060994
0.8;-0.2;0.703056729;0.825335615
0.8;0;0.717356091;0.696706709
0.8;0.2;0.703056729;0.540302306
0.8;0.4;0.660728714;0.362357754
0.8;0.6;0.59205953;0.169967143
0.8;0.8;0.499786802;-0.029199522
0.8;1;0.38758915;-0.227202095
0.8;1.2;0.259939542;-0.416146837
0.8;1.4;0.121926965;-0.588501117
0.8;1.6;-0.020946455;-0.737393716
0.8;1.8;-0.162984806;-0.856888753
0.8;2;-0.298525468;-0.942222341
0.8;2.2;-0.422164861;-0.989992497
0.8;2.4;-0.528973873;-0.998294776
0.8;2.6;-0.614694366;-0.966798193
0.8;2.8;-0.675908935;-0.896758416
0.8;3;-0.710177147;-0.790967712
1;-3;-0.833049961;-0.416146837
1;-2.8;-0.792852761;-0.227202095
1;-2.6;-0.721047023;-0.029199522
1;-2.4;-0.620495416;0.169967143
1;-2.2;-0.495206615;0.362357754
1;-2;-0.350175488;0.540302306
1;-1.8;-0.19118397;0.696706709
1;-1.6;-0.024570551;0.825335615
1;-1.4;0.143022419;0.921060994
1;-1.2;0.304913537;0.980066578
1;-1;0.454648713;1
1;-0.8;0.586258481;0.980066578
1;-0.6;0.694495973;0.921060994
1;-0.4;0.775046102;0.825335615
1;-0.2;0.824697588;0.696706709
1;0;0.841470985;0.540302306
1;0.2;0.824697588;0.362357754
1;0.4;0.775046102;0.169967143
1;0.6;0.694495973;-0.029199522
1;0.8;0.586258481;-0.227202095
1;1;0.454648713;-0.416146837
1;1.2;0.304913537;-0.588501117
1;1.4;0.143022419;-0.737393716
1;1.6;-0.024570551;-0.856888753
1;1.8;-0.19118397;-0.942222341
1;2;-0.350175488;-0.989992497
1;2.2;-0.495206615;-0.998294776
1;2.4;-0.620495416;-0.966798193
1;2.6;-0.721047023;-0.896758416
1;2.8;-0.792852761;-0.790967712
1;3;-0.833049961;-0.653643621
1.2;-3;-0.922711702;-0.227202095
1.2;-2.8;-0.878188049;-0.029199522
1.2;-2.6;-0.79865381;0.169967143
1.2;-2.4;-0.687279765;0.362357754
1.2;-2.2;-0.548506043;0.540302306
1.2;-2;-0.387865117;0.696706709
1.2;-1.8;-0.211761233;0.825335615
1.2;-1.6;-0.027215096;0.921060994
1.2;-1.4;0.158416021;0.980066578
1.2;-1.2;0.33773159;1
1.2;-1;0.503582867;0.980066578
1.2;-0.8;0.649357885;0.921060994
1.2;-0.6;0.769245052;0.825335615
1.2;-0.4;0.858464847;0.696706709
